node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note
10186860,ORGANO SERV LIMITED,ORGANO SERV LIMITED,,ANG,British Anguilla,,HONG KONG IR SECRETARY LIMITED 1B; 561 NAM BIN TSEUN; FA NLING WAI FAN LING N T NEW TERRITORIES HONG KONG,2002552,26-MAR-2013,26-FEB-2014,28-SEP-2014,,Defaulted,Mossack Fonseca,2266422,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10190271,Rising Dragon Group Holdings Co. Ltd.,Rising Dragon Group Holdings Co. Ltd.,,SEY,Seychelles,,HONG KONG IR SECRETARY LIMITED 1B; 561 NAM BIN TSEUN; FA NLING WAI FAN LING N T NEW TERRITORIES HONG KONG,215274,21-NOV-2012,19-JAN-2015,31-DEC-2014,,Defaulted,Mossack Fonseca,115702,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
144284,Insight Networks Inc,,,BVI,British Virgin Islands,Standard International Company,,,18-MAR-1999,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,317272,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
185138,Nakaya Zensuke  Nakaya Setsu & Nakaya Yoshifumi as joint tenants,,,XXX,Undetermined,Client Sundry Account,,,,,,,,Portcullis Trustnet,,XXX,Not identified,Offshore Leaks,The Offshore Leaks data is current through 2010,This is not an offshore entity even though it was logged as such in original database ICIJ received. It isi an internal account created by the agent to record miscellaneous charges of an officer or intermediary
240083472,BALHURST INVESTMENTS LIMITED,,,,,,,,,,,,Inactive,,64655,,,"Pandora Papers - Alemán, Cordero, Galindo & Lee (Alcogal)",Provider data is current through 2018,
240080854,BURSILK INVESTMENTS LIMITED,,,,,,,,,,,,Inactive,,72757,,,"Pandora Papers - Alemán, Cordero, Galindo & Lee (Alcogal)",Provider data is current through 2017,
55050229,Wagokoro Navigatio Company Limited,,,MLT,Malta,,,,05-OCT-2012,,,,,,C55203,MLT,Malta,Paradise Papers - Malta corporate registry,Malta corporate registry data is current through 2016,
55053622,SUPERO LIMITED,,,MLT,Malta,,,,19-NOV-2012,,,,,,C58258,MLT,Malta,Paradise Papers - Malta corporate registry,Malta corporate registry data is current through 2016,
55063568,DARLEY CONSULTING CO LTD,,,MLT,Malta,,,,20-OCT-2014,,,,,,C67209,MLT,Malta,Paradise Papers - Malta corporate registry,Malta corporate registry data is current through 2016,
55069655,K & S BROTHERS INVESTMENT LTD,,,MLT,Malta,,,,16-OCT-2015,,,,,,C72688,MLT,Malta,Paradise Papers - Malta corporate registry,Malta corporate registry data is current through 2016,
55081021,KONICA MINOLTA BUSINESS SOLUTIONS EUROPE GMBH,,,MLT,Malta,,,,12-DEC-2008,,,,Struck Off,,OC415,MLT,Malta,Paradise Papers - Malta corporate registry,Malta corporate registry data is current through 2016,
65000389,YAZAKI EDS SAMOA LIMITED,,,SAM,Samoa,,,,,,,,,,,WSM,Samoa,Paradise Papers - Samoa corporate registry,Samoa corporate registry data is current through 2016,
65001113,GRACE OVERSEAS SAMOA COMPANY LIMITED,,,SAM,Samoa,,,,,,,,,,,WSM,Samoa,Paradise Papers - Samoa corporate registry,Samoa corporate registry data is current through 2016,
65403869,"KONOIKE CONSTRUCTION CO., LTD",,,SAM,Samoa,,,,,,,,,,,WSM,Samoa,Paradise Papers - Samoa corporate registry,Samoa corporate registry data is current through 2016,
65504569,"J-WAY, LTD",,,SAM,Samoa,,,,,,,,,,,WSM,Samoa,Paradise Papers - Samoa corporate registry,Samoa corporate registry data is current through 2016,
65504570,J-WAY (PACIFIC) LTD,,,SAM,Samoa,,,,,,,,,,,WSM,Samoa,Paradise Papers - Samoa corporate registry,Samoa corporate registry data is current through 2016,
240210354,BIB LIMITED,,,,,,,,,,,,,,128980,,,Pandora Papers - CILTrust International,Provider data is current through 2017,
240210452,DOUBLE WIN INTERNATIONAL LTD. 再勝國際有限公司,,,,,,,,,,,,,,58923,,,Pandora Papers - CILTrust International,Provider data is current through 2018,
240211120,IMG LIMITED,,,,,,,,,,,,,,128981,,,Pandora Papers - CILTrust International,Provider data is current through 2017,
240211202,EASY VANTAGE INT’L LIMITED,,,,,,,,,,,,,,110798,,,Pandora Papers - CILTrust International,Provider data is current through 2018,
240210567,"SONIC INT'L CO., LTD",,,,,,,,,,,,,,118442,,,Pandora Papers - CILTrust International,Provider data is current through 2018,
240400001,2Y INTERNATIONAL LIMITED,,,HKG,Hong Kong,,,,,,,,,,,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2019,
240400002,ACCOMMATE HOLDINGS LIMITED ( 艾克瑪特集團有限公司),,,HKG,Hong Kong,,,,,,,,,,1292258,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400003,ACCOMMATE HONG KONG LIMITED,,,HKG,Hong Kong,,,,,,,,,,1806055,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400004,ADHESIVE TECHNOLOGY LIMITED,,,HKG,Hong Kong,,,,,,,,,,,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2019,
240400005,AI STARS LIMITED ( 幻星有限公司),,,HKG,Hong Kong,,,,,,,,,,2472653,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400006,ALLIED HOPE LIMITED ( 協浩有限公司),,,HKG,Hong Kong,,,,,,,,,,1885901,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400007,AMPLE BRIGHT INVESTMENT LIMITED ( 興輝投資有限公司),,,HKG,Hong Kong,,,,,,,,,,2483636,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400008,ANAM ELECTRONICS H.K. LIMITED ( 亞南電子香港有限公司),,,HKG,Hong Kong,,,,,,,,,,594727,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400009,ASIA INVESTMENT CAPITAL HOLDINGS HONG KONG LIMITED,,,HKG,Hong Kong,,,,,,,,,,2603285,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400010,ASIA MISSIONARY ASSOCIATION SEMINARY LIMITED,,,HKG,Hong Kong,,,,,,,,,,2022842,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400011,ASIAN EFFORT LIMITED ( 貿駿有限公司),,,HKG,Hong Kong,,,,,,,,,,2183214,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2020,
240400012,"AVALON ENGLISH HOLDINGS CO., LIMITED",,,HKG,Hong Kong,,,,,,,,,,1254674,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400013,B&S LOGISTICS HK LIMITED,,,HKG,Hong Kong,,,,,,,,,,1119776,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400014,BENSON ASSET MANAGEMENT COMPANY LIMITED,,,HKG,Hong Kong,,,,,,,,,,1176614,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2019,
240400015,"BERGLUFT CO., LIMITED",,,HKG,Hong Kong,,,,,,,,,,2358857,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2019,
240400016,"BICO TRIP (HK) CO., LIMITED",,,HKG,Hong Kong,,,,,,,,,,1613139,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400017,BLAAD HOLDINGS LIMITED,,,HKG,Hong Kong,,,,,,,,,,2462300,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400018,BLAAD STUDIOS LIMITED,,,HKG,Hong Kong,,,,,,,,,,165051,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400019,BLACKBEAN INVESTMENT LIMITED,,,HKG,Hong Kong,,,,,,,,,,2545491,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400020,"BLESSING NANOSOFT CO., LIMITED",,,HKG,Hong Kong,,,,,,,,,,1281014,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400021,BRILLIANT HOLDINGS (GROUP) LIMITED ( 輝煌控股(集團)有限公司),,,HKG,Hong Kong,,,,,,,,,,1402905,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400022,BT7 GLOBAL LIMITED,,,HKG,Hong Kong,,,,,,,,,,,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through nan,
240400023,"BUMIL (H.K.) CO., LIMITED",,,HKG,Hong Kong,,,,,,,,,,,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2019,
240400024,CADEAUX LIMITED,,,HKG,Hong Kong,,,,,,,,,,657185,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400025,CANTARA CHINA CONSULTING GROUP LIMITED,,,HKG,Hong Kong,,,,,,,,,,2388761,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400026,CANTARA GLOBAL HOLDINGS LIMITED,,,HKG,Hong Kong,,,,,,,,,,2295513,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400027,CASS MARITIME (HONG KONG) LIMITED,,,HKG,Hong Kong,,,,,,,,,,1141414,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400028,"CEKO HK CO., LIMITED",,,HKG,Hong Kong,,,,,,,,,,2173290,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400029,CENTRE OFMOM HONG KONG COMPANY LIMITED,,,HKG,Hong Kong,,,,,,,,,,2342183,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400030,CGT 42 LIMITED,,,HKG,Hong Kong,,,,,,,,,,1991363,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400031,CHAMPION SPORT CLUB LIMITED ( 卓恆體育會有限公司),,,HKG,Hong Kong,,,,,,,,,,1123467,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2020,
240400032,CHICA WORLD CULTURAL PROMULGATION CENTRE LIMITED ( 晉德孔聖堂世界文化弘揚中心有限公司),,,HKG,Hong Kong,,,,,,,,,,2474586,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400033,CHINA VITALITY LIMITED,,,HKG,Hong Kong,,,,,,,,,,1017677,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400034,CHINESE ACADEMY PETERHOUSE KINDERGARTEN LIMITED,,,HKG,Hong Kong,,,,,,,,,,2695388,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400035,CHINESE ACADEMY SCHOOL MANAGEMENT COMMITTEE LIMITED ( 晉德書院學校管理委員會有限公司),,,HKG,Hong Kong,,,,,,,,,,2730384,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400036,CHINESE SPEECH THERAPY ASSOCIATION LIMITED ( 中國言語治療協會有限公司),,,HKG,Hong Kong,,,,,,,,,,2546177,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400037,"CINO-PACIFIC TRADING CO., LIMITED",,,HKG,Hong Kong,,,,,,,,,,1232219,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400038,CLAIRE'S HK LIMITED,,,HKG,Hong Kong,,,,,,,,,,2449317,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2019,
240400039,CMMC LIMITED,,,HKG,Hong Kong,,,,,,,,,,1113316,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400040,COHO LIFETECHNOLOGIES LIMITED,,,HKG,Hong Kong,,,,,,,,,,1598644,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400041,CONNECTTIN LIMITED,,,HKG,Hong Kong,,,,,,,,,,1010011,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400042,CONNECTTIN LIMITED,,,HKG,Hong Kong,,,,,,,,,,,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400043,CONTINENTAL CROSSOVER INVESTMENT LIMITED,,,HKG,Hong Kong,,,,,,,,,,2278646,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2020,
240400044,COREE COMPANY LIMITED,,,HKG,Hong Kong,,,,,,,,,,1354633,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400045,CT PLANNING LIMITED,,,HKG,Hong Kong,,,,,,,,,,,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2019,
240400046,CULTURE TECHNOLOGY GROUP ASIA LIMITED,,,HKG,Hong Kong,,,,,,,,,,2255207,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400047,CYWORLD CHINA (HOLDINGS) LIMITED,,,HKG,Hong Kong,,,,,,,,,,1075706,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400048,"D.GOAT CO., LIMITED",,,HKG,Hong Kong,,,,,,,,,,2539920,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400049,DAOU HONG KONG LIMITED,,,HKG,Hong Kong,,,,,,,,,,1194166,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400050,DATALOGIC ADC HONG KONG LIMITED,,,HKG,Hong Kong,,,,,,,,,,965772,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through nan,
240400051,DATALOGIC AUTOMATION ASIA LIMITED,,,HKG,Hong Kong,,,,,,,,,,1111878,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400052,"DH HONG KONG CO., LIMITED",,,HKG,Hong Kong,,,,,,,,,,1915126,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400053,DIGITAL BRIGHT INVESTMENT LIMITED ( 訊暉投資有限公司),,,HKG,Hong Kong,,,,,,,,,,1627379,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400054,DITRAN LIMITED,,,HKG,Hong Kong,,,,,,,,,,1441752,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through nan,
240400055,DJ MAG ASIA LIMITED,,,HKG,Hong Kong,,,,,,,,,,2800897,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2019,
240400056,DKORAM LIMITED,,,HKG,Hong Kong,,,,,,,,,,1605017,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400057,DONNA MODA LIMITED ( 黛娜歐洲時裝批發有限公司),,,HKG,Hong Kong,,,,,,,,,,1131252,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400058,DOOSAN (HONG KONG) LIMITED ( 斗山(香港)有限公司),,,HKG,Hong Kong,,,,,,,,,,73401,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through nan,
240400059,DOOSAN ELECTRO-MATERIALS (HONG KONG) LIMITED (  斗山電子 (香港 )有限公司),,,HKG,Hong Kong,,,,,,,,,,615350,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400060,DRAGON CHARTERING LIMITED,,,HKG,Hong Kong,,,,,,,,,,1391462,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400061,DRAGON ONE INVESTMENT LIMITED ( 龍倡投資有限公司),,,HKG,Hong Kong,,,,,,,,,,2830112,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through nan,
240400062,DRAGON TRENDY INVESTMENT LIMITED (龍輝投資有限公司),,,HKG,Hong Kong,,,,,,,,,,1677216,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400063,DREAM MAKER ENTERTAINMENT LIMITED,,,HKG,Hong Kong,,,,,,,,,,1066046,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400064,DSECARGONET (HK) LIMITED,,,HKG,Hong Kong,,,,,,,,,,841644,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through nan,
240400065,E GREEN GLOBAL HONG KONG LIMITED,,,HKG,Hong Kong,,,,,,,,,,1672128,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400066,EASTERN UNITY LIMITED ( 東雄有限公司),,,HKG,Hong Kong,,,,,,,,,,1989686,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400067,ECOS (HONG KONG) CO. LIMITED,,,HKG,Hong Kong,,,,,,,,,,2171482,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400068,EMB HK LIMITED,,,HKG,Hong Kong,,,,,,,,,,2301156,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400069,EVER PROSPER (ASIA) LIMITED ( 永寶 (亞洲 )有限公司),,,HKG,Hong Kong,,,,,,,,,,2355344,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through nan,
240400070,EXPORTKOREA LIMITED,,,HKG,Hong Kong,,,,,,,,,,1826855,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through nan,
240400071,FERTILIZER RESOURCES INVESTMENT LIMITED,,,HKG,Hong Kong,,,,,,,,,,1938976,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
240400072,FIDELIS (H.K.) LIMITED,,,HKG,Hong Kong,,,,,,,,,,2571789,,,Pandora Papers - Il Shin Corporate Consulting Limited,Provider data is current through 2018,
